stride-length 5
input google-circuit
-------------------------------
--- input-specific specs
-------------------------------
google-circuit-num-rows 6
google-circuit-num-cols 6
google-circuit-num-cycles 12
google-circuit-patterns EFGH
google-circuit-seed 15210
-------------------------------
gates  597
qubits 36
show-circuit? no
sim query-bfs
warmup 0.0000
repeat 1
quantum simulator (query-bfs)
gate 0: non-zeros: 1; slack: 0%; density: 0.00000000
gate 1: non-zeros: 2; slack: 34%; density: 0.00000000
gate 2: non-zeros: 4; slack: 20%; density: 0.00000000
gate 3: non-zeros: 8; slack: 20%; density: 0.00000000
gate 4: non-zeros: 16; slack: 20%; density: 0.00000000
gate 5: non-zeros: 16; slack: 60%; density: 0.00000000
gate 6: non-zeros: 32; slack: 20%; density: 0.00000000
gate 7: non-zeros: 32; slack: 60%; density: 0.00000000
gate 8: non-zeros: 64; slack: 20%; density: 0.00000000
gate 9: non-zeros: 64; slack: 60%; density: 0.00000000
gate 10: non-zeros: 64; slack: 60%; density: 0.00000000
gate 11: non-zeros: 64; slack: 60%; density: 0.00000000
gate 12: non-zeros: 64; slack: 60%; density: 0.00000000
gate 13: non-zeros: 128; slack: 20%; density: 0.00000000
gate 14: non-zeros: 128; slack: 60%; density: 0.00000000
gate 15: non-zeros: 128; slack: 60%; density: 0.00000000
gate 16: non-zeros: 128; slack: 60%; density: 0.00000000
gate 17: non-zeros: 128; slack: 60%; density: 0.00000000
gate 18: non-zeros: 128; slack: 60%; density: 0.00000000
gate 19: non-zeros: 128; slack: 60%; density: 0.00000000
gate 20: non-zeros: 128; slack: 60%; density: 0.00000000
gate 21: non-zeros: 128; slack: 60%; density: 0.00000000
gate 22: non-zeros: 256; slack: 20%; density: 0.00000000
gate 23: non-zeros: 512; slack: 20%; density: 0.00000001
gate 24: non-zeros: 512; slack: 60%; density: 0.00000001
gate 25: non-zeros: 512; slack: 60%; density: 0.00000001
gate 26: non-zeros: 512; slack: 60%; density: 0.00000001
gate 27: non-zeros: 1024; slack: 20%; density: 0.00000001
gate 28: non-zeros: 1024; slack: 60%; density: 0.00000001
gate 29: non-zeros: 1024; slack: 60%; density: 0.00000001
gate 30: non-zeros: 2048; slack: 20%; density: 0.00000003
gate 31: non-zeros: 2048; slack: 60%; density: 0.00000003
gate 32: non-zeros: 4096; slack: 20%; density: 0.00000006
gate 33: non-zeros: 4096; slack: 60%; density: 0.00000006
gate 34: non-zeros: 4096; slack: 60%; density: 0.00000006
gate 35: non-zeros: 4096; slack: 60%; density: 0.00000006
gate 36: non-zeros: 8192; slack: 20%; density: 0.00000012
gate 37: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 38: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 39: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 40: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 41: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 42: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 43: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 44: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 45: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 46: non-zeros: 8192; slack: 60%; density: 0.00000012
gate 47: non-zeros: 6144; slack: 70%; density: 0.00000009
gate 48: non-zeros: 6144; slack: 60%; density: 0.00000009
gate 49: non-zeros: 6144; slack: 60%; density: 0.00000009
